,STOCKNAME,SMB,SMB_RANK,P/B,HML,HML_RANK,CMA_RANK,RMW_RANK,point
278,KMI,35.73,2,1.08,0.925925926,5,5,5,15
302,MRO,4.77,5,0.4,2.5,5,5,5,15
332,MYL,8.87,5,0.79,1.265822785,5,5,5,15
334,NOV,5,5,0.91,1.098901099,5,5,5,15
339,NWSA,7.02,5,0.89,1.123595506,5,5,5,15
340,NWS,7.02,5,0.9,1.111111111,5,5,5,15
345,NBL,4.9,5,1.11,0.900900901,5,5,5,15
440,FTI,3.49,5,0.87,1.149425287,5,5,5,15
283,LB,4.61,5,N/A,#VALUE!,.,1,1,#VALUE!
221,HRB,3.39,5,N/A,#VALUE!,.,3,1,#VALUE!
305,MAR,30.78,2,N/A,#VALUE!,.,3,1,#VALUE!
30,AAL,4.71,5,N/A,#VALUE!,.,5,1,#VALUE!
426,SBUX,90.85,1,N/A,#VALUE!,.,5,1,#VALUE!
484,WAT,11.95,4,N/A,#VALUE!,.,5,1,#VALUE!
312,MCD,139.58,1,N/A,#VALUE!,.,1,2,#VALUE!
227,HCA,36.82,2,N/A,#VALUE!,.,2,2,#VALUE!
236,HD,260.45,1,N/A,#VALUE!,.,2,2,#VALUE!
330,MSI,23.37,3,N/A,#VALUE!,.,2,2,#VALUE!
415,SEE,4.96,5,N/A,#VALUE!,.,2,2,#VALUE!
233,HLT,22.65,3,N/A,#VALUE!,.,3,2,#VALUE!
362,OTIS,22.04,3,N/A,#VALUE!,.,3,2,#VALUE!
490,WU,8.14,5,N/A,#VALUE!,.,5,2,#VALUE!
3,ABBV,159.86,1,N/A,#VALUE!,.,1,3,#VALUE!
57,ADSK,43.73,2,N/A,#VALUE!,.,1,3,#VALUE!
154,DPZ,14.09,4,N/A,#VALUE!,.,1,3,#VALUE!
412,SBAC,32.76,2,N/A,#VALUE!,.,1,3,#VALUE!
59,AZO,26.23,2,N/A,#VALUE!,.,3,3,#VALUE!
470,VRSN,24.06,3,N/A,#VALUE!,.,5,3,#VALUE!
331,MSCI,27.27,2,N/A,#VALUE!,.,1,4,#VALUE!
410,SPGI,75.24,1,N/A,#VALUE!,.,1,4,#VALUE!
501,YUM,26.5,2,N/A,#VALUE!,.,1,4,#VALUE!
276,KMB,46.31,2,N/A,#VALUE!,.,3,4,#VALUE!
375,PM,112.32,1,N/A,#VALUE!,.,3,4,#VALUE!
241,HPQ,24.39,3,N/A,#VALUE!,.,5,4,#VALUE!
308,MAS,12.34,4,N/A,#VALUE!,.,5,4,#VALUE!
449,TDG,21.79,3,N/A,#VALUE!,.,1,5,#VALUE!
72,BA,84.38,1,N/A,#VALUE!,.,2,5,#VALUE!
46,APA,4.8,5,N/A,#VALUE!,.,5,5,#VALUE!
112,CTXS,17.15,3,N/A,#VALUE!,.,5,5,#VALUE!
350,NLOK,11.93,4,1.19k,#VALUE!,.,5,5,#VALUE!
80,BF.B,29.34,2,15.15,0.066006601,1,.,.,#VALUE!
68,BRK.B,438.11,1,1.18,0.847457627,5,.,.,#VALUE!
